variant,scenario,seed,detected,observed,exact,hamming_loss,false_alarm_events
B1,S6,5,1,authorization,0,0.16666666666666666,0
B1,S6,6,1,authorization,0,0.16666666666666666,0
B1,S6,7,1,authorization,0,0.16666666666666666,0
B1,S6,8,1,authorization,0,0.16666666666666666,0
B1,S6,9,1,authorization,0,0.16666666666666666,0
B1,S6,10,1,authorization,0,0.16666666666666666,0
B1,S6,11,1,authorization,0,0.16666666666666666,0
B1,S6,12,1,authorization,0,0.16666666666666666,0
B1,S6,13,1,authorization,0,0.16666666666666666,0
B1,S6,14,1,authorization,0,0.16666666666666666,0
B1,S6,15,1,authorization,0,0.16666666666666666,0
B1,S6,16,1,authorization,0,0.16666666666666666,0
B1,S6,17,1,authorization,0,0.16666666666666666,0
B1,S6,18,1,authorization,0,0.16666666666666666,0
B1,S6,19,1,authorization,0,0.16666666666666666,0
B1,S7,0,1,environment,1,0.0,0
B1,S7,1,1,environment,1,0.0,0
B1,S7,2,1,environment,1,0.0,0
B1,S7,3,1,environment,1,0.0,0
B1,S7,4,1,environment,1,0.0,0
B1,S7,5,1,environment,1,0.0,0
B1,S7,6,1,environment,1,0.0,0
B1,S7,7,1,environment,1,0.0,0
B1,S7,8,1,environment,1,0.0,0
B1,S7,9,1,environment,1,0.0,0
B1,S7,10,1,environment,1,0.0,0
B1,S7,11,1,environment,1,0.0,0
B1,S7,12,1,environment,1,0.0,0
B1,S7,13,1,environment,1,0.0,0
B1,S7,14,1,environment,1,0.0,0
B1,S7,15,1,environment,1,0.0,0
B1,S7,16,1,environment,1,0.0,0
B1,S7,17,1,environment,1,0.0,0
B1,S7,18,1,environment,1,0.0,0
B1,S7,19,1,environment,1,0.0,0
B1,S8,0,1,authorization,1,0.0,0
B1,S8,1,1,authorization,1,0.0,0
B1,S8,2,1,authorization,1,0.0,0
B1,S8,3,1,authorization,1,0.0,0
B1,S8,4,1,authorization,1,0.0,0
B1,S8,5,1,authorization,1,0.0,0
B1,S8,6,1,authorization,1,0.0,0
B1,S8,7,1,authorization,1,0.0,0
B1,S8,8,1,authorization,1,0.0,0
B1,S8,9,1,authorization,1,0.0,0
B1,S8,10,1,authorization,1,0.0,0
B1,S8,11,1,authorization,1,0.0,0
B1,S8,12,1,authorization,1,0.0,0
B1,S8,13,1,authorization,1,0.0,0
B1,S8,14,1,authorization,1,0.0,0
B1,S8,15,1,authorization,1,0.0,0
B1,S8,16,1,authorization,1,0.0,0
B1,S8,17,1,authorization,1,0.0,0
B1,S8,18,1,authorization,1,0.0,0
B1,S8,19,1,authorization,1,0.0,0
B1,S9,0,1,evidence,1,0.0,0
B1,S9,1,1,evidence,1,0.0,0
B1,S9,2,1,evidence,1,0.0,0
B1,S9,3,1,evidence,1,0.0,0
B1,S9,4,1,evidence,1,0.0,0
B1,S9,5,1,evidence,1,0.0,0
B1,S9,6,1,evidence,1,0.0,0
B1,S9,7,1,evidence,1,0.0,0
B1,S9,8,1,evidence,1,0.0,0
B1,S9,9,1,evidence,1,0.0,0
B1,S9,10,1,evidence,1,0.0,0
B1,S9,11,1,evidence,1,0.0,0
B1,S9,12,1,evidence,1,0.0,0
B1,S9,13,1,evidence,1,0.0,0
B1,S9,14,1,evidence,1,0.0,0
B1,S9,15,1,evidence,1,0.0,0
B1,S9,16,1,evidence,1,0.0,0
B1,S9,17,1,evidence,1,0.0,0
B1,S9,18,1,evidence,1,0.0,0
B1,S9,19,1,evidence,1,0.0,0
B1,S10,0,1,policy|authorization,1,0.0,0
B1,S10,1,1,policy|authorization,1,0.0,0
B1,S10,2,1,policy|authorization,1,0.0,0
B1,S10,3,1,policy|authorization,1,0.0,0
B1,S10,4,1,policy|authorization,1,0.0,0
B1,S10,5,1,policy|authorization,1,0.0,0
B1,S10,6,1,policy|authorization,1,0.0,0
B1,S10,7,1,policy|authorization,1,0.0,0
B1,S10,8,1,policy|authorization,1,0.0,0
B1,S10,9,1,policy|authorization,1,0.0,0
B1,S10,10,1,policy|authorization,1,0.0,0
B1,S10,11,1,policy|authorization,1,0.0,0
B1,S10,12,1,policy|authorization,1,0.0,0
B1,S10,13,1,policy|authorization,1,0.0,0
B1,S10,14,1,policy|authorization,1,0.0,0
B1,S10,15,1,policy|authorization,1,0.0,0
B1,S10,16,1,policy|authorization,1,0.0,0
B1,S10,17,1,policy|authorization,1,0.0,0
B1,S10,18,1,policy|authorization,1,0.0,0
B1,S10,19,1,policy|authorization,1,0.0,0
B1,S11,0,1,authorization|environment,1,0.0,0
B1,S11,1,1,authorization|environment,1,0.0,0
B1,S11,2,1,authorization|environment,1,0.0,0
B1,S11,3,1,authorization|environment,1,0.0,0
B1,S11,4,1,authorization|environment,1,0.0,0
B1,S11,5,1,authorization|environment,1,0.0,0
B1,S11,6,1,authorization|environment,1,0.0,0
B1,S11,7,1,authorization|environment,1,0.0,0
B1,S11,8,1,authorization|environment,1,0.0,0
B1,S11,9,1,authorization|environment,1,0.0,0
B1,S11,10,1,authorization|environment,1,0.0,0
B1,S11,11,1,authorization|environment,1,0.0,0
B1,S11,12,1,authorization|environment,1,0.0,0
B1,S11,13,1,authorization|environment,1,0.0,0
B1,S11,14,1,authorization|environment,1,0.0,0
B1,S11,15,1,authorization|environment,1,0.0,0
B1,S11,16,1,authorization|environment,1,0.0,0
B1,S11,17,1,authorization|environment,1,0.0,0
B1,S11,18,1,authorization|environment,1,0.0,0
B1,S11,19,1,authorization|environment,1,0.0,0
B1,S12,0,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,1,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,2,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,3,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,4,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,5,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,6,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,7,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,8,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,9,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,10,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,11,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,12,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,13,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,14,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,15,1,authorization|evidence,0,0.3333333333333333,0
B1,S12,16,1,authorization|evidence,0,0.3333333333333333,0
