repeat,scenario,cadence_seconds,phase_seconds,evaluator_tier,evaluation_scope,expected_class_set,observed_verdict,observed_class,observed_class_set,first_observed_class_set,undecidable_components,detection_rate_hit,first_priority_correct,classification_correct,hamming_loss,polls,injection_started_utc,onset_observed_utc,actuation_seconds,ddl_seconds,end_to_end_seconds,tte_seconds,exact_set_complete_seconds,ddl_right_censored,exact_set_completion_right_censored,censoring_seconds,evidence_semantics
4,S10,2.0,1.6820024686153634,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,4,2026-08-08T07:56:07.112982+00:00,2026-08-08T07:56:10.008892+00:00,2.895800417289138,1.915027457755059,4.810827875044197,1.9150710827670991,7.905146166682243,False,False,180.0,provisional sequential-snapshot class-set record
4,S10,10.0,2.1980881460665924,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,2,2026-08-08T07:56:07.112982+00:00,2026-08-08T07:56:10.008892+00:00,2.895800417289138,2.427399749867618,5.323200167156756,2.4274518750607967,12.4623929169029,False,False,180.0,provisional sequential-snapshot class-set record
4,S11,0.5,0.22009885256753364,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:55:14.947954+00:00,2026-08-08T07:55:16.485232+00:00,1.5372385829687119,0.44451516726985574,1.9817537502385676,0.4445564169436693,0.44451516726985574,False,False,180.0,provisional sequential-snapshot class-set record
4,S11,2.0,1.164996045286628,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:55:14.947954+00:00,2026-08-08T07:55:16.485232+00:00,1.5372385829687119,1.5030282498337328,3.0402668328024447,1.5030703749507666,1.5030282498337328,False,False,180.0,provisional sequential-snapshot class-set record
4,S11,10.0,1.0578940534113468,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:55:14.947954+00:00,2026-08-08T07:55:16.485232+00:00,1.5372385829687119,1.291882541961968,2.82912112493068,1.2919363332912326,1.291882541961968,False,False,180.0,provisional sequential-snapshot class-set record
4,S12,0.5,0.15606471777458497,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:55:45.148040+00:00,2026-08-08T07:55:51.074337+00:00,5.926165082957596,0.3741048341616988,6.300269917119294,0.3741502920165658,0.3741048341616988,False,False,180.0,provisional sequential-snapshot class-set record
4,S12,2.0,1.4562942908100143,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:55:45.148040+00:00,2026-08-08T07:55:51.074337+00:00,5.926165082957596,1.7302995421923697,7.656464625149965,1.7303482498973608,1.7302995421923697,False,False,180.0,provisional sequential-snapshot class-set record
4,S12,10.0,5.914589449929288,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:55:45.148040+00:00,2026-08-08T07:55:51.074337+00:00,5.926165082957596,6.152909874916077,12.079074957873672,6.152968334034085,6.152909874916077,False,False,180.0,provisional sequential-snapshot class-set record
5,S10,0.5,0.10201330239095086,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,16,2026-08-08T07:57:19.565673+00:00,2026-08-08T07:57:22.009054+00:00,2.44324995810166,0.3913962496444583,2.8346462077461183,0.39144566701725125,7.828881166875362,False,False,180.0,provisional sequential-snapshot class-set record
5,S10,2.0,1.8174084826232897,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,4,2026-08-08T07:57:19.565673+00:00,2026-08-08T07:57:22.009054+00:00,2.44324995810166,2.0482897916808724,4.4915397497825325,2.048330708872527,8.046562791801989,False,False,180.0,provisional sequential-snapshot class-set record
5,S10,10.0,3.957627674186276,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,2,2026-08-08T07:57:19.565673+00:00,2026-08-08T07:57:22.009054+00:00,2.44324995810166,4.301298749633133,6.744548707734793,4.301340958569199,14.233289458788931,False,False,180.0,provisional sequential-snapshot class-set record
5,S11,0.5,0.3622888884395968,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:56:28.745661+00:00,2026-08-08T07:56:30.147093+00:00,1.4014046671800315,0.5779237910173833,1.9793284581974149,0.5779707077890635,0.5779237910173833,False,False,180.0,provisional sequential-snapshot class-set record
5,S11,2.0,1.9542828988850312,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:56:28.745661+00:00,2026-08-08T07:56:30.147093+00:00,1.4014046671800315,2.2698476249352098,3.6712522921152413,2.2698987908661366,2.2698476249352098,False,False,180.0,provisional sequential-snapshot class-set record
5,S11,10.0,0.37992823952249677,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:56:28.745661+00:00,2026-08-08T07:56:30.147093+00:00,1.4014046671800315,0.7825411250814795,2.183945792261511,0.7825869577936828,0.7825411250814795,False,False,180.0,provisional sequential-snapshot class-set record
5,S12,0.5,0.22152515829659697,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:56:56.732044+00:00,2026-08-08T07:57:03.883703+00:00,7.151516540907323,0.572457917034626,7.723974457941949,0.5725192087702453,0.572457917034626,False,False,180.0,provisional sequential-snapshot class-set record
5,S12,2.0,0.17004705305882095,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:56:56.732044+00:00,2026-08-08T07:57:03.883703+00:00,7.151516540907323,0.3643061248585582,7.5158226657658815,0.36434749979525805,0.3643061248585582,False,False,180.0,provisional sequential-snapshot class-set record
5,S12,10.0,6.9573961441017085,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:56:56.732044+00:00,2026-08-08T07:57:03.883703+00:00,7.151516540907323,7.178134459070861,14.329650999978185,7.178182959090918,7.178134459070861,False,False,180.0,provisional sequential-snapshot class-set record
