repeat,scenario,cadence_seconds,phase_seconds,evaluator_tier,evaluation_scope,expected_class_set,observed_verdict,observed_class,observed_class_set,undecidable_components,detection_rate_hit,first_priority_correct,classification_correct,hamming_loss,polls,injection_started_utc,onset_observed_utc,actuation_seconds,ddl_seconds,end_to_end_seconds,tte_seconds,evidence_semantics
2,S2,10.0,9.001674934312998,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:55:21.354664+00:00,2026-08-07T23:55:24.005258+00:00,2.6505208336748183,9.237316875252873,11.887837708927691,9.23739799996838,minimal synchronous verdict bundle
2,S3,0.5,0.018460647086604,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,21,2026-08-07T23:54:02.113179+00:00,2026-08-07T23:54:02.243990+00:00,0.1308190831914544,10.207197959069163,10.338017042260617,10.207338375039399,minimal synchronous verdict bundle
2,S3,2.0,1.493610357605746,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,6,2026-08-07T23:54:02.113179+00:00,2026-08-07T23:54:02.243990+00:00,0.1308190831914544,11.722561666741967,11.853380749933422,11.722604291979223,minimal synchronous verdict bundle
2,S3,10.0,3.9126432349194595,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,2,2026-08-07T23:54:02.113179+00:00,2026-08-07T23:54:02.243990+00:00,0.1308190831914544,14.111988708842546,14.242807792034,14.112038542050868,minimal synchronous verdict bundle
2,S4,0.5,0.040830740384208475,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:54:39.364517+00:00,2026-08-07T23:54:41.130340+00:00,1.7657976667396724,0.2129821670241654,1.9787798337638378,0.21303250035271049,minimal synchronous verdict bundle
2,S4,2.0,1.8181699885824194,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:54:39.364517+00:00,2026-08-07T23:54:41.130340+00:00,1.7657976667396724,2.153961167205125,3.9197588339447975,2.1540067503228784,minimal synchronous verdict bundle
2,S4,10.0,4.111266152495633,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:54:39.364517+00:00,2026-08-07T23:54:41.130340+00:00,1.7657976667396724,4.300473875366151,6.066271542105824,4.300524708349258,minimal synchronous verdict bundle
2,S5,0.5,0.20445711028023705,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:54:28.162484+00:00,2026-08-07T23:54:28.212078+00:00,0.049597958102822304,0.40442700032144785,0.45402495842427015,0.4045009580440819,minimal synchronous verdict bundle
2,S5,2.0,1.7052281140272896,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:54:28.162484+00:00,2026-08-07T23:54:28.212078+00:00,0.049597958102822304,1.9513860419392586,2.000984000042081,1.951427916996181,minimal synchronous verdict bundle
2,S5,10.0,7.88594942565302,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:54:28.162484+00:00,2026-08-07T23:54:28.212078+00:00,0.049597958102822304,8.137802416924387,8.18740037502721,8.137876417022198,minimal synchronous verdict bundle
2,S6,0.5,0.43868113246123236,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:53:34.973413+00:00,2026-08-07T23:53:45.108547+00:00,10.135034083854407,0.6466400832869112,10.781674167141318,0.6467171660624444,minimal synchronous verdict bundle
2,S6,2.0,1.9931426524716707,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:53:34.973413+00:00,2026-08-07T23:53:45.108547+00:00,10.135034083854407,2.2373638753779233,12.37239795923233,2.2374095004051924,minimal synchronous verdict bundle
2,S6,10.0,8.412530230599506,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:53:34.973413+00:00,2026-08-07T23:53:45.108547+00:00,10.135034083854407,8.73269020812586,18.867724291980267,8.732771958224475,minimal synchronous verdict bundle
2,S7,0.5,0.03941192151332018,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:10.690579+00:00,2026-08-07T23:55:10.749082+00:00,0.05850416701287031,0.2063558748923242,0.2648600419051945,0.206409249920398,minimal synchronous verdict bundle
2,S7,2.0,0.32869204586055023,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:10.690579+00:00,2026-08-07T23:55:10.749082+00:00,0.05850416701287031,0.551723999902606,0.6102281669154763,0.5517759160138667,minimal synchronous verdict bundle
2,S7,10.0,7.132775243172114,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:10.690579+00:00,2026-08-07T23:55:10.749082+00:00,0.05850416701287031,7.452408915851265,7.5109130828641355,7.452458374667913,minimal synchronous verdict bundle
2,S8,0.5,0.4872802068958702,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:54:48.487051+00:00,2026-08-07T23:54:48.549659+00:00,0.06260900013148785,0.6685604169033468,0.7311694170348346,0.668620334006846,minimal synchronous verdict bundle
2,S8,2.0,1.7994752376139005,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:54:48.487051+00:00,2026-08-07T23:54:48.549659+00:00,0.06260900013148785,2.0020562089048326,2.0646652090363204,2.002104749903083,minimal synchronous verdict bundle
2,S8,10.0,8.424899196393854,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:54:48.487051+00:00,2026-08-07T23:54:48.549659+00:00,0.06260900013148785,8.678009583614767,8.740618583746254,8.678071749862283,minimal synchronous verdict bundle
2,S9,0.5,0.4280970877589652,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:53:29.831614+00:00,2026-08-07T23:53:29.842977+00:00,0.011371207889169455,0.5527645000256598,0.5641357079148293,0.552822208032012,minimal synchronous verdict bundle
2,S9,2.0,1.314037180353481,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:53:29.831614+00:00,2026-08-07T23:53:29.842977+00:00,0.011371207889169455,1.4383642920292914,1.4497354999184608,1.4384029577486217,minimal synchronous verdict bundle
2,S9,10.0,2.379993119707642,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:53:29.831614+00:00,2026-08-07T23:53:29.842977+00:00,0.011371207889169455,2.541702250018716,2.5530734579078853,2.5417375420220196,minimal synchronous verdict bundle
3,S1,0.5,0.4277691296921218,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:58:15.185148+00:00,2026-08-07T23:58:15.230312+00:00,0.04516904102638364,0.583939875010401,0.6291089160367846,0.5839943340979517,minimal synchronous verdict bundle
3,S1,2.0,0.2525642296302899,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:58:15.185148+00:00,2026-08-07T23:58:15.230312+00:00,0.04516904102638364,0.43097566720098257,0.4761447082273662,0.43103454215452075,minimal synchronous verdict bundle
3,S1,10.0,7.072303288235529,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:58:15.185148+00:00,2026-08-07T23:58:15.230312+00:00,0.04516904102638364,7.306445791851729,7.351614832878113,7.306490541901439,minimal synchronous verdict bundle
3,S2,0.5,0.2636177441257404,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:55:47.890243+00:00,2026-08-07T23:55:50.013667+00:00,2.1231951666995883,0.6417072499170899,2.7649024166166782,0.641756416298449,minimal synchronous verdict bundle
3,S2,2.0,1.6534223269866384,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:55:47.890243+00:00,2026-08-07T23:55:50.013667+00:00,2.1231951666995883,1.8234520410187542,3.9466472077183425,1.8234918331727386,minimal synchronous verdict bundle
3,S2,10.0,0.20492516564980634,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:55:47.890243+00:00,2026-08-07T23:55:50.013667+00:00,2.1231951666995883,0.44886420806869864,2.572059374768287,0.44894862500950694,minimal synchronous verdict bundle
3,S3,0.5,0.1718864941883705,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,18,2026-08-07T23:57:45.794605+00:00,2026-08-07T23:57:45.916709+00:00,0.12210058327764273,8.868805209174752,8.990905792452395,8.868889624718577,minimal synchronous verdict bundle
3,S3,2.0,1.3197196804030376,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,5,2026-08-07T23:57:45.794605+00:00,2026-08-07T23:57:45.916709+00:00,0.12210058327764273,9.51532654184848,9.637427125126123,9.515387292020023,minimal synchronous verdict bundle
3,S3,10.0,7.655607673398067,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,2,2026-08-07T23:57:45.794605+00:00,2026-08-07T23:57:45.916709+00:00,0.12210058327764273,17.896935916971415,18.019036500249058,17.89698183396831,minimal synchronous verdict bundle
3,S4,0.5,0.4865959870236778,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:56:12.229540+00:00,2026-08-07T23:56:13.964879+00:00,1.7353237909264863,0.6846812921576202,2.4200050830841064,0.6847527921199799,minimal synchronous verdict bundle
3,S4,2.0,1.4289548667659058,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:56:12.229540+00:00,2026-08-07T23:56:13.964879+00:00,1.7353237909264863,1.7274249172769487,3.462748708203435,1.727474792394787,minimal synchronous verdict bundle
3,S4,10.0,3.773580889830467,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:56:12.229540+00:00,2026-08-07T23:56:13.964879+00:00,1.7353237909264863,59.89293629210442,61.62826008303091,59.89306166721508,minimal synchronous verdict bundle
3,S5,0.5,0.1344548136968563,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:36.186028+00:00,2026-08-07T23:55:36.220845+00:00,0.03481774963438511,0.2968847081065178,0.3317024577409029,0.29693504236638546,minimal synchronous verdict bundle
3,S5,2.0,1.749646144147632,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:36.186028+00:00,2026-08-07T23:55:36.220845+00:00,0.03481774963438511,1.9772844170220196,2.0121021666564047,1.9773386670276523,minimal synchronous verdict bundle
3,S5,10.0,8.946101819568781,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:36.186028+00:00,2026-08-07T23:55:36.220845+00:00,0.03481774963438511,9.24810479208827,9.282922541722655,9.248346874956042,minimal synchronous verdict bundle
3,S6,0.5,0.3983739691984484,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:58:25.327596+00:00,2026-08-07T23:59:09.787547+00:00,44.45953887468204,0.749912042170763,45.2094509168528,0.7499617501161993,minimal synchronous verdict bundle
3,S6,2.0,0.3651521956515764,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:58:25.327596+00:00,2026-08-07T23:59:09.787547+00:00,44.45953887468204,0.5674847923219204,45.02702366700396,0.5675690839998424,minimal synchronous verdict bundle
3,S6,10.0,5.6839283824081255,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:58:25.327596+00:00,2026-08-07T23:59:09.787547+00:00,44.45953887468204,5.909236709121615,50.368775583803654,5.909280417021364,minimal synchronous verdict bundle
3,S7,0.5,0.17099279175203824,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:56.347630+00:00,2026-08-07T23:55:56.371736+00:00,0.024105167016386986,0.41274233302101493,0.4368475000374019,0.41280699986964464,minimal synchronous verdict bundle
3,S7,2.0,1.0850029279374969,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:56.347630+00:00,2026-08-07T23:55:56.371736+00:00,0.024105167016386986,1.356063624843955,1.380168791860342,1.3561142077669501,minimal synchronous verdict bundle
3,S7,10.0,7.466776783345102,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:55:56.347630+00:00,2026-08-07T23:55:56.371736+00:00,0.024105167016386986,7.870503041893244,7.894608208909631,7.870584832970053,minimal synchronous verdict bundle
3,S8,0.5,0.40350017752767137,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:57:35.442825+00:00,2026-08-07T23:57:36.592164+00:00,1.1493370826356113,0.6277111251838505,1.7770482078194618,0.6277820840477943,minimal synchronous verdict bundle
3,S8,2.0,1.9955477718575092,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:57:35.442825+00:00,2026-08-07T23:57:36.592164+00:00,1.1493370826356113,2.2055959589779377,3.354933041613549,2.2056345003657043,minimal synchronous verdict bundle
3,S8,10.0,5.757559414443461,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:57:35.442825+00:00,2026-08-07T23:57:36.592164+00:00,1.1493370826356113,6.03786808392033,7.187205166555941,6.037933541927487,minimal synchronous verdict bundle
3,S9,0.5,0.2704529362142047,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:56:08.029153+00:00,2026-08-07T23:56:08.046597+00:00,0.017444875091314316,0.3977597909979522,0.41520466608926654,0.39780712500214577,minimal synchronous verdict bundle
3,S9,2.0,1.5116205930813325,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:56:08.029153+00:00,2026-08-07T23:56:08.046597+00:00,0.017444875091314316,1.6498451246879995,1.6672899997793138,1.6498878747224808,minimal synchronous verdict bundle
3,S9,10.0,0.9439079331329103,T2,T4-full-vector,evidence,undecidable,evidence,evidence,authorization|intent,True,True,True,0.0,1,2026-08-07T23:56:08.029153+00:00,2026-08-07T23:56:08.046597+00:00,0.017444875091314316,1.1195926247164607,1.137037499807775,1.1196335409767926,minimal synchronous verdict bundle
4,S1,0.5,0.3242278395294163,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-08T00:01:04.648517+00:00,2026-08-08T00:01:04.696975+00:00,0.048459833953529596,0.507938708178699,0.5563985421322286,0.5079892077483237,minimal synchronous verdict bundle
4,S1,2.0,1.6111734120286736,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-08T00:01:04.648517+00:00,2026-08-08T00:01:04.696975+00:00,0.048459833953529596,1.8205382907763124,1.868998124729842,1.8205911251716316,minimal synchronous verdict bundle
4,S1,10.0,7.8956033041743865,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-08T00:01:04.648517+00:00,2026-08-08T00:01:04.696975+00:00,0.048459833953529596,8.128984999842942,8.177444833796471,8.129082166124135,minimal synchronous verdict bundle
4,S2,0.5,0.1088041867852127,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-08T00:00:53.785612+00:00,2026-08-08T00:00:56.003521+00:00,2.2178724580444396,0.28009149990975857,2.497963957954198,0.28015458304435015,minimal synchronous verdict bundle
4,S2,2.0,1.293810851421306,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-08T00:00:53.785612+00:00,2026-08-08T00:00:56.003521+00:00,2.2178724580444396,1.501187500078231,3.7190599581226707,1.5012314170598984,minimal synchronous verdict bundle
4,S2,10.0,5.454085023000443,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-08T00:00:53.785612+00:00,2026-08-08T00:00:56.003521+00:00,2.2178724580444396,5.681924500036985,7.899796958081424,5.6819770000875,minimal synchronous verdict bundle
4,S3,0.5,0.09718398606106632,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,21,2026-08-08T00:00:29.901881+00:00,2026-08-08T00:00:30.027273+00:00,0.12539179110899568,10.286354375071824,10.41174616618082,10.286424791906029,minimal synchronous verdict bundle
