sample_order,benchmark,n,repetition,affected_units,inner_iterations,elapsed_ns,per_operation_ns,milliseconds,units_per_second,exact_vectors,expected_vectors,modeled_external_calls,modeled_naive_external_calls
828,fanout_subset,25,25,3,1667,25136000,15078.584283143371,0.01507858428314337,198957.670273711,3,3,1,18
829,sweep,500,30,500,10,29852875,2985287.5,2.9852875,167488.05600800595,500,500,6,3000
830,sweep,10,33,10,500,29152167,58304.334,0.058304334,171513.8363470544,10,10,6,60
831,sweep,500,40,500,10,29477667,2947766.7,2.9477667000000003,169619.93634028092,500,500,6,3000
832,sweep,25,8,25,200,28529250,142646.25,0.14264625,175258.7256938055,25,25,6,150
833,sweep,250,21,250,20,28379333,1418966.65,1.41896665,176184.5495100255,250,250,6,1500
834,fanout_total,250,38,250,20,25514083,1275704.15,1.27570415,195970.20202528933,250,250,1,1500
835,fanout_total,500,15,500,10,26892750,2689275.0,2.689275,185923.71549953055,500,500,1,3000
836,sweep,500,18,500,10,29477292,2947729.2,2.9477292000000004,169622.09418694227,500,500,6,3000
837,sweep,1,28,1,2000,12988750,6494.375,0.006494375,153979.4052545472,1,1,6,6
838,sweep,25,22,25,200,28292041,141460.205,0.14146020499999998,176728.14767941277,25,25,6,150
839,sweep,250,20,250,20,28208500,1410425.0,1.410425,177251.53765708915,250,250,6,1500
840,sweep,250,17,250,20,30106000,1505300.0,1.5053,166079.85119245332,250,250,6,1500
841,fanout_total,100,9,100,50,25767167,515343.34,0.51534334,194045.39117552195,100,100,1,600
842,fanout_total,100,30,100,50,26754875,535097.5,0.5350975,186881.82994687886,100,100,1,600
843,sweep,25,30,25,200,29197166,145985.83,0.14598582999999998,171249.4972971007,25,25,6,150
844,fanout_subset,10,34,1,2000,10247041,5123.5205,0.005123520499999999,195178.29586121498,1,1,1,6
845,fanout_total,50,37,50,100,24868625,248686.25,0.24868625,201056.5521817149,50,50,1,300
846,sweep,100,24,100,50,27740459,554809.18,0.55480918,180242.15100406233,100,100,6,600
847,fanout_total,1000,3,1000,5,26356916,5271383.2,5.2713832,189703.52980599095,1000,1000,1,6000
848,fanout_subset,25,7,3,1667,24218792,14528.36952609478,0.01452836952609478,206492.5451277669,3,3,1,18
849,fanout_total,1,28,1,2000,10341375,5170.6875,0.0051706875,193397.87987574184,1,1,1,6
850,sweep,250,6,250,20,27986416,1399320.8,1.3993208000000001,178658.1032741027,250,250,6,1500
851,sweep,50,4,50,100,27396292,273962.92,0.27396292,182506.45014296097,50,50,6,300
852,fanout_total,250,40,250,20,24745292,1237264.6,1.2372646,202058.6380633536,250,250,1,1500
853,fanout_subset,1000,28,100,50,26659500,533190.0,0.53319,187550.404171121,100,100,1,600
854,sweep,500,37,500,10,33222917,3322291.7,3.3222917,150498.5248586089,500,500,6,3000
855,sweep,50,26,50,100,28313917,283139.17,0.28313917,176591.60334474387,50,50,6,300
856,fanout_subset,50,28,5,1000,25039083,25039.083,0.025039083,199687.82403093597,5,5,1,30
857,sweep,1000,17,1000,5,30470292,6094058.4,6.094058400000001,164094.25941832128,1000,1000,6,6000
858,sweep,25,11,25,200,28255166,141275.83,0.14127583,176958.79047392608,25,25,6,150
859,fanout_subset,1000,2,100,50,26066375,521327.5,0.5213275,191818.00307867894,100,100,1,600
860,fanout_total,250,6,250,20,25822667,1291133.35,1.2911333500000002,193628.33436220972,250,250,1,1500
861,sweep,10,31,10,500,28612416,57224.832,0.057224832,174749.31162751163,10,10,6,60
862,fanout_total,25,10,25,200,25216084,126080.42,0.12608042,198286.14149603882,25,25,1,150
863,fanout_subset,1000,37,100,50,26342041,526840.82,0.52684082,189810.65286474957,100,100,1,600
864,sweep,25,27,25,200,27809458,139047.29,0.13904729000000002,179794.9460216017,25,25,6,150
865,fanout_subset,25,26,3,1667,27666792,16596.755848830235,0.016596755848830233,180758.2172880759,3,3,1,18
866,fanout_total,1000,35,1000,5,27413292,5482658.4,5.4826584,182393.27111825897,1000,1000,1,6000
867,sweep,100,7,100,50,27292042,545840.84,0.54584084,183203.587331428,100,100,6,600
868,fanout_total,10,26,10,500,25053667,50107.334,0.050107334,199571.58367276136,10,10,1,60
869,fanout_subset,10,35,1,2000,10691500,5345.75,0.00534575,187064.49048309406,1,1,1,6
870,sweep,500,35,500,10,29116958,2911695.8,2.9116958,171721.23543949885,500,500,6,3000
871,sweep,250,10,250,20,27441459,1372072.95,1.37207295,182206.05544333486,250,250,6,1500
872,sweep,1000,31,1000,5,29553375,5910675.0,5.910675,169185.41452541377,1000,1000,6,6000
873,sweep,250,8,250,20,28358209,1417910.45,1.41791045,176315.78919529085,250,250,6,1500
874,sweep,1,33,1,2000,12743291,6371.6455,0.006371645499999999,156945.32911474752,1,1,6,6
875,fanout_total,50,38,50,100,25552583,255525.83,0.25552583,195674.9343109462,50,50,1,300
876,sweep,100,34,100,50,27934459,558689.18,0.55868918,178990.40035105028,100,100,6,600
877,fanout_subset,25,12,3,1667,25548583,15326.084583083384,0.015326084583083384,195744.71116460743,3,3,1,18
878,sweep,1,16,1,2000,13564000,6782.0,0.006782,147449.13005013272,1,1,6,6
879,fanout_total,1000,30,1000,5,26297125,5259425.0,5.259425,190134.8531445928,1000,1000,1,6000
880,fanout_subset,1,37,1,2000,10144625,5072.3125,0.0050723125,197148.73639981766,1,1,1,6
881,fanout_total,1,14,1,2000,10303875,5151.9375,0.0051519375,194101.73357110796,1,1,1,6
882,fanout_total,500,12,500,10,30131500,3013150.0,3.01315,165939.2994042779,500,500,1,3000
883,fanout_total,25,25,25,200,26006042,130030.21,0.13003021,192263.0133412843,25,25,1,150
884,sweep,500,25,500,10,29701000,2970100.0,2.9701,168344.50018517897,500,500,6,3000
885,sweep,100,29,100,50,28359083,567181.66,0.56718166,176310.35531014876,100,100,6,600
886,fanout_subset,50,36,5,1000,25497125,25497.125,0.025497125,196100.54074724112,5,5,1,30
887,sweep,50,2,50,100,29113750,291137.5,0.2911375,171740.15714224378,50,50,6,300
888,sweep,100,16,100,50,28281750,565635.0,0.565635,176792.45449804203,100,100,6,600
889,fanout_total,1,6,1,2000,10265125,5132.5625,0.0051325625,194834.45160190453,1,1,1,6
890,fanout_total,25,29,25,200,25104709,125523.545,0.125523545,199165.82183844474,25,25,1,150
891,sweep,10,15,10,500,29417000,58834.0,0.058834,169969.7453853214,10,10,6,60
892,sweep,100,12,100,50,28271583,565431.66,0.56543166,176856.03243369854,100,100,6,600
893,fanout_subset,100,6,10,500,25606458,51212.916,0.051212916,195263.24179626876,10,10,1,60
894,fanout_total,25,4,25,200,24599375,122996.875,0.122996875,203257.19657511625,25,25,1,150
895,sweep,250,27,250,20,28121000,1406050.0,1.40605,177803.0653248462,250,250,6,1500
896,fanout_total,1000,6,1000,5,29021166,5804233.2,5.8042332000000005,172288.04659330368,1000,1000,1,6000
897,sweep,10,16,10,500,47394417,94788.834,0.094788834,105497.65808913737,10,10,6,60
898,fanout_total,100,19,100,50,31070375,621407.5,0.6214075,160924.99688207818,100,100,1,600
899,fanout_total,10,20,10,500,25746750,51493.5,0.0514935,194199.26786876016,10,10,1,60
900,sweep,500,8,500,10,28697916,2869791.6,2.8697916,174228.67918353374,500,500,6,3000
901,fanout_total,500,40,500,10,26591875,2659187.5,2.6591875,188027.35798058618,500,500,1,3000
902,fanout_total,50,15,50,100,25687292,256872.92,0.25687292,194648.77808061667,50,50,1,300
903,fanout_total,1000,19,1000,5,26548875,5309775.0,5.309775,188331.8973026164,1000,1000,1,6000
904,sweep,50,29,50,100,28692542,286925.42,0.28692542,174261.311528271,50,50,6,300
905,fanout_subset,500,12,50,100,26266917,262669.17,0.26266917,190353.51579326956,50,50,1,300
906,fanout_subset,1000,38,100,50,26380084,527601.68,0.5276016800000001,189536.92490137633,100,100,1,600
907,fanout_subset,250,1,25,200,25640125,128200.625,0.128200625,195006.84961559274,25,25,1,150
908,fanout_total,250,19,250,20,25304416,1265220.8,1.2652208,197593.96936882476,250,250,1,1500
909,fanout_total,10,39,10,500,25490667,50981.334,0.050981334,196150.22235393053,10,10,1,60
910,sweep,25,24,25,200,27933750,139668.75,0.13966875,178994.94339284915,25,25,6,150
911,sweep,500,36,500,10,32249917,3224991.7,3.2249917000000003,155039.1587054317,500,500,6,3000
912,fanout_subset,1,11,1,2000,10487084,5243.542,0.005243542,190710.78290209174,1,1,1,6
913,sweep,250,5,250,20,27979584,1398979.2,1.3989791999999999,178701.72765971074,250,250,6,1500
914,fanout_total,1000,5,1000,5,26024416,5204883.2,5.2048832,192127.27002212073,1000,1000,1,6000
915,fanout_total,50,5,50,100,24698083,246980.83,0.24698082999999998,202444.86181376912,50,50,1,300
916,sweep,100,31,100,50,27719542,554390.84,0.5543908399999999,180378.16064926327,100,100,6,600
917,fanout_subset,500,27,50,100,26181416,261814.16,0.26181416,190975.15581281015,50,50,1,300
918,sweep,1,25,1,2000,13167750,6583.875,0.006583875,151886.23720833097,1,1,6,6
919,sweep,250,19,250,20,28497334,1424866.7,1.4248667,175455.00922998623,250,250,6,1500
920,fanout_total,1,39,1,2000,10344125,5172.0625,0.0051720625,193346.46478073302,1,1,1,6
921,sweep,50,6,50,100,27835834,278358.34,0.27835834000000004,179624.5803161493,50,50,6,300
922,fanout_subset,50,13,5,1000,24640917,24640.917,0.024640917000000002,202914.5262735149,5,5,1,30
923,sweep,50,28,50,100,28677000,286770.0,0.28677,174355.75548348852,50,50,6,300
924,fanout_total,25,32,25,200,26183833,130919.165,0.130919165,190957.52711224518,25,25,1,150
925,fanout_total,10,17,10,500,25186125,50372.25,0.05037225,198522.00368258316,10,10,1,60
926,fanout_subset,50,20,5,1000,25673959,25673.959,0.025673959,194749.86308110875,5,5,1,30
927,sweep,100,40,100,50,28364459,567289.18,0.5672891800000001,176276.93868583918,100,100,6,600
928,sweep,250,18,250,20,28596208,1429810.4,1.4298103999999998,174848.35751649312,250,250,6,1500
929,fanout_total,1000,38,1000,5,27867458,5573491.6,5.5734916,179420.74228657671,1000,1000,1,6000
930,fanout_total,1,30,1,2000,10672666,5336.333,0.0053363329999999995,187394.60224839795,1,1,1,6
931,sweep,50,3,50,100,28927750,289277.5,0.2892775,172844.4141006473,50,50,6,300
932,fanout_total,25,16,25,200,25261208,126306.04,0.12630603999999998,197931.94371385567,25,25,1,150
933,fanout_total,10,22,10,500,26608583,53217.166,0.053217165999999996,187909.29227610506,10,10,1,60
934,fanout_subset,500,39,50,100,26733792,267337.92,0.26733792,187029.21007240575,50,50,1,300
935,fanout_subset,500,35,50,100,25893375,258933.75,0.25893375,193099.58628413637,50,50,1,300
936,sweep,250,4,250,20,28763583,1438179.15,1.4381791499999999,173830.91668378032,250,250,6,1500
937,fanout_total,250,37,250,20,25359209,1267960.45,1.26796045,197167.0330884532,250,250,1,1500
938,fanout_total,25,26,25,200,24959583,124797.915,0.124797915,200323.85957730145,25,25,1,150
939,sweep,10,34,10,500,28776833,57553.666,0.057553665999999996,173750.8780066243,10,10,6,60
940,fanout_subset,25,35,3,1667,25090917,15051.539892021596,0.015051539892021596,199315.15456370128,3,3,1,18
941,fanout_total,250,39,250,20,25767042,1288352.1,1.2883521,194046.33252043443,250,250,1,1500
942,sweep,250,40,250,20,28328083,1416404.15,1.41640415,176503.29533417424,250,250,6,1500
943,sweep,25,36,25,200,28379500,141897.5,0.1418975,176183.51274687715,25,25,6,150
944,fanout_total,500,20,500,10,27334084,2733408.4,2.7334084,182921.80561089958,500,500,1,3000
945,sweep,1000,40,1000,5,28983750,5796750.0,5.79675,172510.4584465433,1000,1000,6,6000
946,fanout_total,10,27,10,500,25472667,50945.334,0.050945334,196288.8299054041,10,10,1,60
